batch_id,ingestion_timestamp,role,shift,source_file,staff_id,staff_name,store_id,staff_sk,role_level,silver_processed_at
20260603,2026-06-03T17:38:59.027416,Manager,Evening,staff_S001_20260603.json,ST001,Girish Gara,S001,S001_ST001,Operations,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Chef,Evening,staff_S001_20260603.json,ST002,Vrishti Krish,S001,S001_ST002,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Chef,Morning,staff_S001_20260603.json,ST003,Lohit Rau,S001,S001_ST003,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Chef,Evening,staff_S001_20260603.json,ST004,Viraj Bhargava,S001,S001_ST004,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Chef,Morning,staff_S001_20260603.json,ST005,Zayyan Sabharwal,S001,S001_ST005,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Chef,Evening,staff_S001_20260603.json,ST006,Geetika Dora,S001,S001_ST006,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Cashier,Evening,staff_S001_20260603.json,ST007,Ekanta Ray,S001,S001_ST007,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Cashier,Evening,staff_S001_20260603.json,ST008,Amrita Kadakia,S001,S001_ST008,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Delivery Executive,Morning,staff_S001_20260603.json,ST009,Xalak Munshi,S001,S001_ST009,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Unknown,Unknown,staff_S001_20260603.json,ST010,Ekanta Shenoy,S001,S001_ST010,Unknown,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Delivery Executive,Morning,staff_S001_20260603.json,ST011,Yoshita Bumb,S001,S001_ST011,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Delivery Executive,Morning,staff_S001_20260603.json,ST012,Pavani Brahmbhatt,S001,S001_ST012,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Delivery Executive,Evening,staff_S001_20260603.json,ST013,Joshua Arya,S001,S001_ST013,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Cleaner,Morning,staff_S001_20260603.json,ST014,Zinal Dara,S001,S001_ST014,Support,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:59.027416,Cleaner,Morning,staff_S001_20260603.json,ST015,Rudra Sarma,S001,S001_ST015,Support,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Unknown,Evening,staff_S002_20260603.json,ST001,Tripti Dhar,S002,S002_ST001,Unknown,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Chef,Morning,staff_S002_20260603.json,ST002,Waida Sangha,S002,S002_ST002,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Chef,Morning,staff_S002_20260603.json,ST003,Hemal Bava,S002,S002_ST003,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Chef,Morning,staff_S002_20260603.json,ST004,Harish Kuruvilla,S002,S002_ST004,Frontline,2026-06-03T17:41:47.201Z
